trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
91,199,False,,0.046,13,5000,2025-10-23T16:42:42.901722
92,199,False,,0.043,13,5000,2025-10-23T16:42:42.945490
93,199,False,,0.05,13,5000,2025-10-23T16:42:42.995957
94,199,False,,0.042,13,5000,2025-10-23T16:42:43.038292
95,199,False,,0.043,13,5000,2025-10-23T16:42:43.081243
96,199,False,,0.045,13,5000,2025-10-23T16:42:43.127032
97,199,False,,0.042,13,5000,2025-10-23T16:42:43.169729
98,199,False,,0.051,13,5000,2025-10-23T16:42:43.220966
99,199,False,,0.042,13,5000,2025-10-23T16:42:43.263566
100,199,False,,0.042,13,5000,2025-10-23T16:42:43.306236
